                                                           Stdlib	                                                                                                                           Containers	                                                                                                                                              Batteries	                                                                                                        Base	                                            F#
	CCListLabels.is_empty : 'a t -> bool		Base.List.is_empty : 'a t -> bool	
			Base.List.is_prefix : 'a t -> prefix:'a t -> equal:('a -> 'a -> bool) -> bool	
	CCListLabels.is_sorted : cmp:('a -> 'a -> int) -> 'a list -> bool		Base.List.is_sorted : 'a t -> compare:('a -> 'a -> int) -> bool	
			Base.List.is_sorted_strictly : 'a t -> compare:('a -> 'a -> int) -> bool	
			Base.List.is_suffix : 'a t -> suffix:'a t -> equal:('a -> 'a -> bool) -> bool	
ListLabels.iter : f:('a -> unit) -> 'a list -> unit	CCListLabels.iter : f:('a -> unit) -> 'a list -> unit	BatList.Labels.iter : f:('a -> unit) -> 'a list -> unit	Base.List.iter : 'a t -> f:('a -> unit) -> unit	
			Base.List.iter2 : 'a t -> 'b t -> f:('a -> 'b -> unit) -> unit Or_unequal_lengths.t	
ListLabels.iter2 : f:('a -> 'b -> unit) -> 'a list -> 'b list -> unit	CCListLabels.iter2 : f:('a -> 'b -> unit) -> 'a list -> 'b list -> unit	BatList.Labels.iter2 : f:('a -> 'b -> unit) -> 'a list -> 'b list -> unit	Base.List.iter2_exn : 'a t -> 'b t -> f:('a -> 'b -> unit) -> unit	
ListLabels.iteri : f:(int -> 'a -> unit) -> 'a list -> unit	CCListLabels.iteri : f:(int -> 'a -> unit) -> 'a t -> unit	BatList.Labels.iteri : f:(int -> 'a -> unit) -> 'a list -> unit	Base.List.iteri : 'a t -> f:(int -> 'a -> unit) -> unit	
	CCListLabels.iteri2 : f:(int -> 'a -> 'b -> unit) -> 'a t -> 'b t -> unit			
			Base.List.join : 'a t t -> 'a t	
	CCListLabels.join : join_row:('a -> 'b -> 'c option) -> 'a t -> 'b t -> 'c t			
	CCListLabels.join_all_by : ?eq:('key -> 'key -> bool) -> ?hash:('key -> int) -> ('a -> 'key) -> ('b -> 'key) -> merge:('key -> 'a list -> 'b list -> 'c option) -> 'a t -> 'b t -> 'c t			
	CCListLabels.join_by : ?eq:('key -> 'key -> bool) -> ?hash:('key -> int) -> ('a -> 'key) -> ('b -> 'key) -> merge:('key -> 'a -> 'b -> 'c option) -> 'a t -> 'b t -> 'c t			
	CCListLabels.keep_ok : ('a, 'b) result t -> 'a t			
	CCListLabels.keep_some : 'a option t -> 'a t			
	CCListLabels.last : int -> 'a t -> 'a t		Base.List.last_exn : 'a t -> 'a	
	CCListLabels.last_opt : 'a t -> 'a option		Base.List.last : 'a t -> 'a option	
ListLabels.length : 'a list -> int	CCListLabels.length : 'a list -> int		Base.List.length : 'a t -> int	
ListLabels.map : f:('a -> 'b) -> 'a list -> 'b list	CCListLabels.map : f:('a -> 'b) -> 'a t -> 'b t	BatList.Labels.map : f:('a -> 'b) -> 'a list -> 'b list	Base.List.map : 'a t -> f:('a -> 'b) -> 'b t	
			Base.List.map2 : 'a t -> 'b t -> f:('a -> 'b -> 'c) -> 'c t Or_unequal_lengths.t	
ListLabels.map2 : f:('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	CCListLabels.map2 : f:('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	BatList.Labels.map2 : f:('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	Base.List.map2_exn : 'a t -> 'b t -> f:('a -> 'b -> 'c) -> 'c t	
			Base.List.map3 : 'a t -> 'b t -> 'c t -> f:('a -> 'b -> 'c -> 'd) -> 'd t Or_unequal_lengths.t	
			Base.List.map3_exn : 'a t -> 'b t -> 'c t -> f:('a -> 'b -> 'c -> 'd) -> 'd t	
	CCListLabels.map_product_l : f:('a -> 'b list) -> 'a list -> 'b list list			
ListLabels.mapi : f:(int -> 'a -> 'b) -> 'a list -> 'b list	CCListLabels.mapi : f:(int -> 'a -> 'b) -> 'a t -> 'b t	BatList.Labels.mapi : f:(int -> 'a -> 'b) -> 'a list -> 'b list	Base.List.mapi : 'a t -> f:(int -> 'a -> 'b) -> 'b t	
			Base.List.max_elt : 'a t -> compare:('a -> 'a -> int) -> 'a option	
ListLabels.mem : 'a -> set:'a list -> bool	CCListLabels.mem : ?eq:('a -> 'a -> bool) -> 'a -> 'a t -> bool		Base.List.mem : 'a t -> 'a -> equal:('a -> 'a -> bool) -> bool	
ListLabels.mem_assoc : 'a -> map:('a * 'b) list -> bool	CCListLabels.mem_assoc : ?eq:('a -> 'a -> bool) -> 'a -> ('a * 'b) t -> bool			
ListLabels.mem_assq : 'a -> map:('a * 'b) list -> bool	CCListLabels.mem_assq : 'a -> map:('a * 'b) list -> bool			
ListLabels.memq : 'a -> set:'a list -> bool	CCListLabels.memq : 'a -> set:'a list -> bool			
ListLabels.merge : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list	CCListLabels.merge : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list	BatList.Labels.merge : ?cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list	Base.List.merge : 'a t -> 'a t -> compare:('a -> 'a -> int) -> 'a t	
	CCListLabels.mguard : bool -> unit t			
			Base.List.min_elt : 'a t -> compare:('a -> 'a -> int) -> 'a option	
ListLabels.nth : 'a list -> int -> 'a	CCListLabels.nth : 'a list -> int -> 'a		Base.List.nth_exn : 'a t -> int -> 'a	
ListLabels.nth_opt : 'a list -> int -> 'a option	CCListLabels.nth_opt : 'a t -> int -> 'a option		Base.List.nth : 'a t -> int -> 'a option	
	CCListLabels.of_gen : 'a gen -> 'a t			
	CCListLabels.of_iter : 'a iter -> 'a t			
ListLabels.of_seq : 'a Seq.t -> 'a list	CCListLabels.of_seq : 'a Seq.t -> 'a t		Base.List.of_list : 'a t -> 'a t	
	CCListLabels.of_seq_rev : 'a Seq.t -> 'a t			
ListLabels.partition : f:('a -> bool) -> 'a list -> 'a list * 'a list	CCListLabels.partition : f:('a -> bool) -> 'a list -> 'a list * 'a list	BatList.Labels.partition : f:('a -> bool) -> 'a list -> 'a list * 'a list	Base.List.partition_tf : 'a t -> f:('a -> bool) -> 'a t * 'a t	
			Base.List.partition3_map : 'a t -> f:('a -> [ `Fst of 'b | `Snd of 'c | `Trd of 'd ]) -> 'b t * 'c t * 'd t	
	CCListLabels.partition_filter_map : f:('a -> [< `Drop | `Left of 'b | `Right of 'c ]) -> 'a list -> 'b list * 'c list			
ListLabels.partition_map : f:('a -> ('b, 'c) Either.t) -> 'a list -> 'b list * 'c list	CCListLabels.partition_map : f:('a -> [< `Drop | `Left of 'b | `Right of 'c ]) -> 'a list -> 'b list * 'c list	BatList.Labels.partition_map : f:('a -> ('b, 'c) BatEither.t) -> 'a list -> 'b list * 'c list	Base.List.partition_map : 'a t -> f:('a -> ('b, 'c) Base__.Either0.t) -> 'b t * 'c t	
	CCListLabels.partition_map_either : f:('a -> ('b, 'c) CCEither.t) -> 'a list -> 'b list * 'c list			
			Base.List.partition_result : ('ok, 'error) Base__.Result.t t -> 'ok t * 'error t	
			Base.List.permute : ?random_state:Base__.Random.State.t -> 'a t -> 'a t	
	CCListLabels.pp : ?pp_start:unit printer -> ?pp_stop:unit printer -> ?pp_sep:unit printer -> 'a printer -> 'a t printer			
	CCListLabels.product : f:('a -> 'b -> 'c) -> 'a t -> 'b t -> 'c t			
	CCListLabels.pure : 'a -> 'a t			
	CCListLabels.random : 'a random_gen -> 'a t random_gen			
	CCListLabels.random_choose : 'a t -> 'a random_gen			
			Base.List.random_element : ?random_state:Base__.Random.State.t -> 'a t -> 'a option	
			Base.List.random_element_exn : ?random_state:Base__.Random.State.t -> 'a t -> 'a	
	CCListLabels.random_len : int -> 'a random_gen -> 'a t random_gen			
	CCListLabels.random_non_empty : 'a random_gen -> 'a t random_gen			
	CCListLabels.random_sequence : 'a random_gen t -> 'a t random_gen			
	CCListLabels.range : int -> int -> int t		Base.List.range : ?stride:int -> ?start:[ `exclusive | `inclusive ] -> ?stop:[ `exclusive | `inclusive ] -> int -> int -> int t	
	CCListLabels.range' : int -> int -> int t		Base.List.range' : compare:('a -> 'a -> int) -> stride:('a -> 'a) -> ?start:[ `exclusive | `inclusive ] -> ?stop:[ `exclusive | `inclusive ] -> 'a -> 'a -> 'a t	
	CCListLabels.range_by : step:int -> int -> int -> int t			
	CCListLabels.reduce : f:('a -> 'a -> 'a) -> 'a list -> 'a option		Base.List.reduce : 'a t -> f:('a -> 'a -> 'a) -> 'a option	
			Base.List.reduce_balanced : 'a t -> f:('a -> 'a -> 'a) -> 'a option	
			Base.List.reduce_balanced_exn : 'a t -> f:('a -> 'a -> 'a) -> 'a	
	CCListLabels.reduce_exn : f:('a -> 'a -> 'a) -> 'a list -> 'a		Base.List.reduce_exn : 'a t -> f:('a -> 'a -> 'a) -> 'a	
	CCListLabels.remove : eq:('a -> 'a -> bool) -> key:'a -> 'a t -> 'a t			
ListLabels.remove_assoc : 'a -> ('a * 'b) list -> ('a * 'b) list	CCListLabels.remove_assoc : eq:('a -> 'a -> bool) -> 'a -> ('a * 'b) t -> ('a * 'b) t			
ListLabels.remove_assq : 'a -> ('a * 'b) list -> ('a * 'b) list	CCListLabels.remove_assq : 'a -> ('a * 'b) list -> ('a * 'b) list			
	CCListLabels.remove_at_idx : int -> 'a t -> 'a t			
			Base.List.remove_consecutive_duplicates : ?which_to_keep:[ `First | `Last ] -> 'a t -> equal:('a -> 'a -> bool) -> 'a t	
		BatList.Labels.remove_if : f:('a -> bool) -> 'a list -> 'a list		
	CCListLabels.remove_one : eq:('a -> 'a -> bool) -> 'a -> 'a t -> 'a t			
	CCListLabels.repeat : int -> 'a t -> 'a t			
	CCListLabels.replicate : int -> 'a -> 'a t			
	CCListLabels.return : 'a -> 'a t		Base.List.return : 'a -> 'a t	
ListLabels.rev : 'a list -> 'a list	CCListLabels.rev : 'a list -> 'a list		Base.List.rev : 'a t -> 'a t	
ListLabels.rev_append : 'a list -> 'a list -> 'a list	CCListLabels.rev_append : 'a list -> 'a list -> 'a list		Base.List.rev_append : 'a t -> 'a t -> 'a t	
			Base.List.rev_filter : 'a t -> f:('a -> bool) -> 'a t	
			Base.List.rev_filter_map : 'a t -> f:('a -> 'b option) -> 'b t	
			Base.List.rev_filter_mapi : 'a t -> f:(int -> 'a -> 'b option) -> 'b t	
ListLabels.rev_map : f:('a -> 'b) -> 'a list -> 'b list	CCListLabels.rev_map : f:('a -> 'b) -> 'a list -> 'b list	BatList.Labels.rev_map : f:('a -> 'b) -> 'a list -> 'b list	Base.List.rev_map : 'a t -> f:('a -> 'b) -> 'b t	
			Base.List.rev_map2 : 'a t -> 'b t -> f:('a -> 'b -> 'c) -> 'c t Or_unequal_lengths.t	
ListLabels.rev_map2 : f:('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	CCListLabels.rev_map2 : f:('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	BatList.Labels.rev_map2 : f:('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	Base.List.rev_map2_exn : 'a t -> 'b t -> f:('a -> 'b -> 'c) -> 'c t	
			Base.List.rev_map3 : 'a t -> 'b t -> 'c t -> f:('a -> 'b -> 'c -> 'd) -> 'd t Or_unequal_lengths.t	
			Base.List.rev_map3_exn : 'a t -> 'b t -> 'c t -> f:('a -> 'b -> 'c -> 'd) -> 'd t	
			Base.List.rev_map_append : 'a t -> 'b t -> f:('a -> 'b) -> 'b t	
			Base.List.rev_mapi : 'a t -> f:(int -> 'a -> 'b) -> 'b t	
		BatList.Labels.rfind : f:('a -> bool) -> 'a list -> 'a		
	CCListLabels.scan_left : f:('acc -> 'a -> 'acc) -> init:'acc -> 'a list -> 'acc list			
	CCListLabels.set_at_idx : int -> 'a -> 'a t -> 'a t			
			Base.List.sexp_of_t : ('a -> Sexplib0__.Sexp.t) -> 'a t -> Sexplib0__.Sexp.t	
ListLabels.sort : cmp:('a -> 'a -> int) -> 'a list -> 'a list	CCListLabels.sort : cmp:('a -> 'a -> int) -> 'a list -> 'a list		Base.List.sort : 'a t -> compare:('a -> 'a -> int) -> 'a t	
			Base.List.sort_and_group : 'a t -> compare:('a -> 'a -> int) -> 'a t t	
ListLabels.sort_uniq : cmp:('a -> 'a -> int) -> 'a list -> 'a list	CCListLabels.sort_uniq : cmp:('a -> 'a -> int) -> 'a list -> 'a list			
	CCListLabels.sorted_diff : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list			
	CCListLabels.sorted_diff_uniq : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list			
	CCListLabels.sorted_insert : cmp:('a -> 'a -> int) -> ?uniq:bool -> 'a -> 'a list -> 'a list			
	CCListLabels.sorted_mem : cmp:('a -> 'a -> int) -> 'a -> 'a list -> bool			
	CCListLabels.sorted_merge : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list			
	CCListLabels.sorted_merge_uniq : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list			
	CCListLabels.sorted_remove : cmp:('a -> 'a -> int) -> ?all:bool -> 'a -> 'a list -> 'a list			
ListLabels.split : ('a * 'b) list -> 'a list * 'b list	CCListLabels.split : ('a * 'b) t -> 'a t * 'b t			
			Base.List.split_n : 'a t -> int -> 'a t * 'a t	
			Base.List.split_while : 'a t -> f:('a -> bool) -> 'a t * 'a t	
ListLabels.stable_sort : cmp:('a -> 'a -> int) -> 'a list -> 'a list	CCListLabels.stable_sort : cmp:('a -> 'a -> int) -> 'a list -> 'a list	BatList.Labels.stable_sort : ?cmp:('a -> 'a -> int) -> 'a list -> 'a list	Base.List.stable_sort : 'a t -> compare:('a -> 'a -> int) -> 'a t	
			Base.List.sub : 'a t -> pos:int -> len:int -> 'a t	
	CCListLabels.sublists_of_len : ?last:('a list -> 'a list option) -> ?offset:int -> len:int -> 'a list -> 'a list list			
	CCListLabels.subset : eq:('a -> 'a -> bool) -> 'a t -> 'a t -> bool	BatList.Labels.subset : cmp:('a -> 'b -> int) -> 'a list -> 'b list -> bool		
			Base.List.sum : (module Base__Container_intf.Summable with type t = 'sum) -> 'a t -> f:('a -> 'sum) -> 'sum	
			Base.List.t_of_sexp : (Sexplib0__.Sexp.t -> 'a) -> Sexplib0__.Sexp.t -> 'a t	
			Base.List.t_sexp_grammar : 'a Sexplib0.Sexp_grammar.t -> 'a t Sexplib0.Sexp_grammar.t	
	CCListLabels.tail_opt : 'a t -> 'a t option			
	CCListLabels.take : int -> 'a t -> 'a t		Base.List.take : 'a t -> int -> 'a t	
	CCListLabels.take_drop : int -> 'a t -> 'a t * 'a t			
	CCListLabels.take_drop_while : f:('a -> bool) -> 'a t -> 'a t * 'a t			
	CCListLabels.take_while : f:('a -> bool) -> 'a t -> 'a t	BatList.Labels.take_while : f:('a -> bool) -> 'a list -> 'a list	Base.List.take_while : 'a t -> f:('a -> bool) -> 'a t	
			Base.List.tl : 'a t -> 'a t option	
ListLabels.tl : 'a list -> 'a list	CCListLabels.tl : 'a list -> 'a list		Base.List.tl_exn : 'a t -> 'a t	
			Base.List.to_array : 'a t -> 'a array	
	CCListLabels.to_gen : 'a t -> 'a gen			
	CCListLabels.to_iter : 'a t -> 'a iter			
			Base.List.to_list : 'a t -> 'a list	
ListLabels.to_seq : 'a list -> 'a Seq.t	CCListLabels.to_seq : 'a t -> 'a Seq.t			
	CCListLabels.to_string : ?start:string -> ?stop:string -> ?sep:string -> ('a -> string) -> 'a t -> string			
			Base.List.transpose : 'a t t -> 'a t t option	
			Base.List.transpose_exn : 'a t t -> 'a t t	
	CCListLabels.union : eq:('a -> 'a -> bool) -> 'a t -> 'a t -> 'a t			
	CCListLabels.uniq : eq:('a -> 'a -> bool) -> 'a t -> 'a t			
	CCListLabels.uniq_succ : eq:('a -> 'a -> bool) -> 'a list -> 'a list			
			Base.List.unordered_append : 'a t -> 'a t -> 'a t	
			Base.List.unzip : ('a * 'b) t -> 'a t * 'b t	
			Base.List.unzip3 : ('a * 'b * 'c) t -> 'a t * 'b t * 'c t	
			Base.List.zip : 'a t -> 'b t -> ('a * 'b) t Or_unequal_lengths.t	
	CCListLabels.( -- ) : int -> int -> int CCList.t			
	CCListLabels.( --^ ) : int -> int -> int CCList.t			
	CCListLabels.( <$> ) : ('a -> 'b) -> 'a CCList.t -> 'b CCList.t			
	CCListLabels.( <*> ) : ('a -> 'b) CCList.t -> 'a CCList.t -> 'b CCList.t			
	CCListLabels.( >>= ) : 'a CCList.t -> ('a -> 'b CCList.t) -> 'b CCList.t		Base.List.( >>= ) : 'a t -> ('a -> 'b t) -> 'b t	
	CCListLabels.( >|= ) : 'a CCList.t -> ('a -> 'b) -> 'b CCList.t		Base.List.( >>| ) : 'a t -> ('a -> 'b) -> 'b t	
	CCListLabels.( @ ) : 'a CCList.t -> 'a CCList.t -> 'a CCList.t			
	CCListLabels.( and& ) : 'a list -> 'b list -> ('a * 'b) list			
	CCListLabels.( and* ) : 'a CCList.t -> 'b CCList.t -> ('a * 'b) CCList.t			
	CCListLabels.( and+ ) : 'a CCList.t -> 'b CCList.t -> ('a * 'b) CCList.t			
	CCListLabels.( let* ) : 'a CCList.t -> ('a -> 'b CCList.t) -> 'b CCList.t			
	CCListLabels.( let+ ) : 'a CCList.t -> ('a -> 'b) -> 'b CCList.t			
	CCListLabels.Assoc.get : eq:('a -> 'a -> bool) -> 'a -> ('a, 'b) t -> 'b option			
	CCListLabels.Assoc.get_exn : eq:('a -> 'a -> bool) -> 'a -> ('a, 'b) t -> 'b			
	CCListLabels.Assoc.keys : ('a, 'b) t -> 'a list			
	CCListLabels.Assoc.map_values : ('b -> 'c) -> ('a, 'b) t -> ('a, 'c) t			
	CCListLabels.Assoc.mem : ?eq:('a -> 'a -> bool) -> 'a -> ('a, 'b) t -> bool			
	CCListLabels.Assoc.remove : eq:('a -> 'a -> bool) -> 'a -> ('a, 'b) t -> ('a, 'b) t			
	CCListLabels.Assoc.set : eq:('a -> 'a -> bool) -> 'a -> 'b -> ('a, 'b) t -> ('a, 'b) t			
	CCListLabels.Assoc.update : eq:('a -> 'a -> bool) -> f:('b option -> 'b option) -> 'a -> ('a, 'b) t -> ('a, 'b) t			
	CCListLabels.Assoc.values : ('a, 'b) t -> 'b list 			
	CCListLabels.Ref.clear : 'a t -> unit			
	CCListLabels.Ref.create : unit -> 'a t			
	CCListLabels.Ref.lift : ('a list -> 'b) -> 'a t -> 'b			
	CCListLabels.Ref.pop : 'a t -> 'a option			
	CCListLabels.Ref.pop_exn : 'a t -> 'a			
	CCListLabels.Ref.push : 'a t -> 'a -> unit			
	CCListLabels.Ref.push_list : 'a t -> 'a list -> unit			
				
	CCList.add_nodup : eq:('a -> 'a -> bool) -> 'a -> 'a t -> 'a t			
	CCList.all_ok : ('a, 'err) result t -> ('a t, 'err) result			
	CCList.all_some : 'a option t -> 'a t option			
				List.allPairs : ('a list -> 'b list -> ('a * 'b) list)
List.append : 'a list -> 'a list -> 'a list	CCList.append : 'a t -> 'a t -> 'a t	BatList.append : 'a list -> 'a list -> 'a list		List.append : ('a list -> 'a list -> 'a list)
List.assoc : 'a -> ('a * 'b) list -> 'b	CCList.assoc : eq:('a -> 'a -> bool) -> 'a -> ('a * 'b) t -> 'b	BatList.assoc : 'a -> ('a * 'b) list -> 'b		
		BatList.assoc_inv : 'b -> ('a * 'b) list -> 'a		
List.assoc_opt : 'a -> ('a * 'b) list -> 'b option	CCList.assoc_opt : eq:('a -> 'a -> bool) -> 'a -> ('a * 'b) t -> 'b option	BatList.assoc_opt : 'a -> ('a * 'b) list -> 'b option		
List.assq : 'a -> ('a * 'b) list -> 'b	CCList.assq : 'a -> ('a * 'b) list -> 'b	BatList.assq : 'a -> ('a * 'b) list -> 'b		
		BatList.assq_inv : 'b -> ('a * 'b) list -> 'a		
List.assq_opt : 'a -> ('a * 'b) list -> 'b option	CCList.assq_opt : 'a -> ('a * 'b) t -> 'b option	BatList.assq_opt : 'a -> ('a * 'b) list -> 'b option		
		BatList.at : 'a list -> int -> 'a		
		BatList.at_opt : 'a list -> int -> 'a option		
				List.average : ???
				List.averageBy : ???
		BatList.backwards : 'a list -> 'a BatEnum.t		
	CCList.cartesian_product : 'a t t -> 'a t t	BatList.n_cartesian_product : 'a list list -> 'a list list		
		BatList.cartesian_product : 'a list -> 'b list -> ('a * 'b) list		
				List.choose : (('a -> 'b option) -> 'a list -> 'b list)
	CCList.chunks : int -> 'a list -> 'a list list			List.chunkBySize : (int -> 'a list -> 'a list list)
				List.collect : (('a -> 'b list) -> 'a list -> 'b list)
List.combine : 'a list -> 'b list -> ('a * 'b) list	CCList.combine : 'a list -> 'b list -> ('a * 'b) list	BatList.combine : 'a list -> 'b list -> ('a * 'b) list		
	CCList.combine_gen : 'a list -> 'b list -> ('a * 'b) gen			
	CCList.combine_shortest : 'a list -> 'b list -> ('a * 'b) list			
List.compare : ('a -> 'a -> int) -> 'a list -> 'a list -> int	CCList.compare : ('a -> 'a -> int) -> 'a t -> 'a t -> int	BatList.compare : 'a BatOrd.comp -> 'a list BatOrd.comp		List.compareWith : (('a -> 'a -> int) -> 'a list -> 'a list -> int)
List.compare_length_with : 'a list -> int -> int	CCList.compare_length_with : 'a t -> int -> int	BatList.compare_length_with : 'a list -> int -> int		
List.compare_lengths : 'a list -> 'b list -> int	CCList.compare_lengths : 'a t -> 'b t -> int	BatList.compare_lengths : 'a list -> 'b list -> int		
List.concat : 'a list list -> 'a list	CCList.concat : 'a list list -> 'a list	BatList.concat : 'a list list -> 'a list		List.concat : (seq<'a list> -> 'a list)
List.concat_map : ('a -> 'b list) -> 'a list -> 'b list	CCList.concat_map : ('a -> 'b list) -> 'a list -> 'b list	BatList.concat_map : ('a -> 'b list) -> 'a list -> 'b list		
List.cons : 'a -> 'a list -> 'a list	CCList.cons : 'a -> 'a list -> 'a list	BatList.cons : 'a -> 'a list -> 'a list		
	CCList.cons' : 'a t -> 'a -> 'a t			
	CCList.cons_maybe : 'a option -> 'a t -> 'a t			
				List.contains : ('a -> 'a list -> bool) when 'a : equality
	CCList.count : ('a -> bool) -> 'a list -> int			
		BatList.count_matching : ('a -> bool) -> 'a list -> int		
	CCList.count_true_false : ('a -> bool) -> 'a list -> int * int			
				List.countBy : (('a -> 'b) -> 'a list -> ('b * int) list) when 'b : equality
	CCList.diagonal : 'a t -> ('a * 'a) t			
				List.distinct : ('a list -> 'a list) when 'a : equality
				List.distinctBy : (('a -> 'b) -> 'a list -> 'a list) when 'b : equality
	CCList.drop : int -> 'a t -> 'a t	BatList.drop : int -> 'a list -> 'a list		
	CCList.drop_while : ('a -> bool) -> 'a t -> 'a t	BatList.drop_while : ('a -> bool) -> 'a list -> 'a list		
		BatList.dropwhile : ('a -> bool) -> 'a list -> 'a list		
	CCList.empty : 'a t			List.empty : 'a list
		BatList.enum : 'a list -> 'a BatEnum.t		
		BatList.eq : 'a BatOrd.eq -> 'a list BatOrd.eq		
List.equal : ('a -> 'a -> bool) -> 'a list -> 'a list -> bool	CCList.equal : ('a -> 'a -> bool) -> 'a t -> 'a t -> bool	BatList.equal : ('a -> 'a -> bool) -> 'a list -> 'a list -> bool		
				List.exactlyOne : ('a list -> 'a)
				List.except : (seq<'a> -> 'a list -> 'a list) when 'a : equality
List.exists : ('a -> bool) -> 'a list -> bool	CCList.exists : ('a -> bool) -> 'a list -> bool	BatList.exists : ('a -> bool) -> 'a list -> bool		List.exists : (('a -> bool) -> 'a list -> bool)
List.exists2 : ('a -> 'b -> bool) -> 'a list -> 'b list -> bool	CCList.exists2 : ('a -> 'b -> bool) -> 'a list -> 'b list -> bool	BatList.exists2 : ('a -> 'b -> bool) -> 'a list -> 'b list -> bool		List.exists2 : (('a -> 'b -> bool) -> 'a list -> 'b list -> bool)
List.fast_sort : ('a -> 'a -> int) -> 'a list -> 'a list	CCList.fast_sort : ('a -> 'a -> int) -> 'a list -> 'a list	BatList.fast_sort : ('a -> 'a -> int) -> 'a list -> 'a list		
		BatList.favg : float list -> float		
List.filter : ('a -> bool) -> 'a list -> 'a list	CCList.filter : ('a -> bool) -> 'a t -> 'a t	BatList.filter : ('a -> bool) -> 'a list -> 'a list		List.filter : (('a -> bool) -> 'a list -> 'a list)
List.filter_map : ('a -> 'b option) -> 'a list -> 'b list	CCList.filter_map : ('a -> 'b option) -> 'a t -> 'b t	BatList.filter_map : ('a -> 'b option) -> 'a list -> 'b list		
List.filteri : (int -> 'a -> bool) -> 'a list -> 'a list	CCList.filteri : (int -> 'a -> bool) -> 'a list -> 'a list	BatList.filteri : (int -> 'a -> bool) -> 'a list -> 'a list		
		BatList.filteri_map : (int -> 'a -> 'b option) -> 'a list -> 'b list		
List.find : ('a -> bool) -> 'a list -> 'a	CCList.find : ('a -> bool) -> 'a list -> 'a	BatList.find : ('a -> bool) -> 'a list -> 'a		List.find : (('a -> bool) -> 'a list -> 'a)
				List.findBack : (('a -> bool) -> 'a list -> 'a)
List.find_all : ('a -> bool) -> 'a list -> 'a list	CCList.find_all : ('a -> bool) -> 'a list -> 'a list	BatList.find_all : ('a -> bool) -> 'a list -> 'a list		
		BatList.find_exn : ('a -> bool) -> exn -> 'a list -> 'a		
	CCList.find_idx : ('a -> bool) -> 'a t -> (int * 'a) option			
				List.findIndex : (('a -> bool) -> 'a list -> int)
				List.findIndexBack : (('a -> bool) -> 'a list -> int)
List.find_map : ('a -> 'b option) -> 'a list -> 'b option	CCList.find_map : ('a -> 'b option) -> 'a t -> 'b option	BatList.find_map : ('a -> 'b option) -> 'a list -> 'b		
		BatList.find_map_opt : ('a -> 'b option) -> 'a list -> 'b option		
	CCList.find_mapi : (int -> 'a -> 'b option) -> 'a t -> 'b option			
List.find_opt : ('a -> bool) -> 'a list -> 'a option	CCList.find_opt : ('a -> bool) -> 'a t -> 'a option	BatList.find_opt : ('a -> bool) -> 'a list -> 'a option		
	CCList.find_pred : ('a -> bool) -> 'a t -> 'a option			
	CCList.find_pred_exn : ('a -> bool) -> 'a t -> 'a			
		BatList.findi : (int -> 'a -> bool) -> 'a list -> int * 'a		
		BatList.first : 'a list -> 'a		
	CCList.flat_map : ('a -> 'b t) -> 'a t -> 'b t			
	CCList.flat_map_i : (int -> 'a -> 'b t) -> 'a t -> 'b t			
List.flatten : 'a list list -> 'a list	CCList.flatten : 'a t t -> 'a t	BatList.flatten : 'a list list -> 'a list		
		BatList.fold : ('a -> 'b -> 'a) -> 'a -> 'b list -> 'a		
	CCList.fold_filter_map : ('acc -> 'a -> 'acc * 'b option) -> 'acc -> 'a list -> 'acc * 'b list			
	CCList.fold_filter_map_i : ('acc -> int -> 'a -> 'acc * 'b option) -> 'acc -> 'a list -> 'acc * 'b list			
	CCList.fold_flat_map : ('acc -> 'a -> 'acc * 'b list) -> 'acc -> 'a list -> 'acc * 'b list			
	CCList.fold_flat_map_i : ('acc -> int -> 'a -> 'acc * 'b list) -> 'acc -> 'a list -> 'acc * 'b list			
List.fold_left : ('a -> 'b -> 'a) -> 'a -> 'b list -> 'a	CCList.fold_left : ('a -> 'b -> 'a) -> 'a -> 'b list -> 'a	BatList.fold_left : ('a -> 'b -> 'a) -> 'a -> 'b list -> 'a		List.fold : (('a -> 'b -> 'a) -> 'a -> 'b list -> 'a)
List.fold_left2 : ('a -> 'b -> 'c -> 'a) -> 'a -> 'b list -> 'c list -> 'a	CCList.fold_left2 : ('a -> 'b -> 'c -> 'a) -> 'a -> 'b list -> 'c list -> 'a	BatList.fold_left2 : ('a -> 'b -> 'c -> 'a) -> 'a -> 'b list -> 'c list -> 'a		List.fold2 : (('a -> 'b -> 'c -> 'a) -> 'a -> 'b list -> 'c list -> 'a)
